# time flux err_flux
1.327031363208595621e+03 8.472678710937500000e+03 1.141556358337402344e+01
1.327032752110023694e+03 8.465908203125000000e+03 1.141934680938720703e+01
1.327034141011393785e+03 8.472858398437500000e+03 1.141163730621337891e+01
1.327035529912822085e+03 8.460321289062500000e+03 1.140932559967041016e+01
1.327036918814250157e+03 8.468194335937500000e+03 1.141195678710937500e+01
1.327038307715620022e+03 8.451333984375000000e+03 1.140895175933837891e+01
1.327039696617048321e+03 8.482583007812500000e+03 1.141271781921386719e+01
1.327041085518418413e+03 8.465457031250000000e+03 1.140773010253906250e+01
1.327042474419846485e+03 8.447088867187500000e+03 1.141275596618652344e+01
1.327043863321216350e+03 8.468240234375000000e+03 1.141125106811523438e+01
1.327045252222645331e+03 8.469830078125000000e+03 1.140520286560058594e+01
1.327046641124015423e+03 8.471039062500000000e+03 1.141146945953369141e+01
1.327048030025442813e+03 8.461012695312500000e+03 1.140895080566406250e+01
1.327049418926813587e+03 8.467944335937500000e+03 1.141453361511230469e+01
1.327050807828241659e+03 8.458120117187500000e+03 1.140542316436767578e+01
1.327052196729669276e+03 8.473503906250000000e+03 1.141248416900634766e+01
1.327053585631040050e+03 8.467621093750000000e+03 1.140902137756347656e+01
1.327054974532468123e+03 8.461617187500000000e+03 1.140524482727050781e+01
1.327056363433837532e+03 8.469808593750000000e+03 1.141366958618164062e+01
1.327057752335266514e+03 8.463974609375000000e+03 1.140904712677001953e+01
1.327059141236637061e+03 8.471398437500000000e+03 1.141403388977050781e+01
1.327060530138064451e+03 8.461788085937500000e+03 1.140682315826416016e+01
1.327061919039434542e+03 8.471983398437500000e+03 1.141630744934082031e+01
1.327063307940863297e+03 8.467215820312500000e+03 1.140823745727539062e+01
1.327064696842232706e+03 8.481806640625000000e+03 1.141594696044921875e+01
1.327066085743660778e+03 8.468361328125000000e+03 1.141815280914306641e+01
1.327067474645031552e+03 8.448432617187500000e+03 1.140669345855712891e+01
1.327068863546459852e+03 8.460196289062500000e+03 1.140254116058349609e+01
1.327070252447829944e+03 8.468229492187500000e+03 1.141261482238769531e+01
1.327071641349258016e+03 8.459604492187500000e+03 1.140647697448730469e+01
1.327073030250628790e+03 8.459123046875000000e+03 1.142011356353759766e+01
1.327074419151998654e+03 8.451315429687500000e+03 1.140263748168945312e+01
1.327075808053426272e+03 8.453612304687500000e+03 1.141063022613525391e+01
1.327077196954796818e+03 8.488899414062500000e+03 1.143070697784423828e+01
1.327078585856225118e+03 8.451658203125000000e+03 1.141045570373535156e+01
1.327079974757594528e+03 8.462820312500000000e+03 1.141262149810791016e+01
1.327081363659023282e+03 8.473009765625000000e+03 1.141619205474853516e+01
1.327082752560393374e+03 8.453894531250000000e+03 1.140481090545654297e+01
1.327084141461820764e+03 8.448546875000000000e+03 1.140168571472167969e+01
1.327085530363191310e+03 8.460342773437500000e+03 1.141494178771972656e+01
1.327086919264619610e+03 8.474651367187500000e+03 1.141910839080810547e+01
1.327088308165988792e+03 8.437894531250000000e+03 1.140636062622070312e+01
1.327089697067417774e+03 8.472044921875000000e+03 1.141174697875976562e+01
1.327091085968788548e+03 8.453718750000000000e+03 1.140547752380371094e+01
1.327092474870157957e+03 8.451718750000000000e+03 1.140725994110107422e+01
1.327093863771586030e+03 8.476078125000000000e+03 1.142510414123535156e+01
1.327095252672956804e+03 8.466677734375000000e+03 1.141455078125000000e+01
1.327096641574384194e+03 8.455420898437500000e+03 1.140970039367675781e+01
1.327098030475754285e+03 8.448378906250000000e+03 1.140704727172851562e+01
